Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
4-March-2024,1655.75,1662.25,1633.20,1637.85,1641.573789490286435296,291654,11173,478771562.00,233321,80.00,29.05,-17.90
2-March-2024,1656.05,1665.00,1653.75,1655.20,1657.461884595023822128,26446,1866,43833237.00,21412,80.96,11.25,-0.85
1-March-2024,1672.05,1672.50,1652.00,1655.05,1662.134919584047987830,324749,17882,539776653.00,112538,34.65,20.50,-17.00
29-February-2024,1655.15,1682.00,1653.50,1675.05,1665.716365842560291217,79116,3443,131784816.00,45007,56.89,28.50,19.90
28-February-2024,1672.00,1687.50,1662.40,1670.10,1674.485867252100883846,193133,9748,323398479.00,91595,47.43,25.10,-1.90
27-February-2024,1655.20,1670.95,1653.00,1664.75,1659.819198649341252374,99507,4582,165163629.00,65349,65.67,17.95,9.55
26-February-2024,1672.70,1674.50,1645.00,1658.65,1655.823451037244140692,144855,9788,239854306.00,77194,53.29,29.50,-14.05
23-February-2024,1695.60,1698.60,1672.00,1677.00,1678.969115599515396994,221212,10750,371408116.00,62426,28.22,26.60,-18.60
22-February-2024,1663.30,1684.35,1644.85,1680.25,1660.237137445887445887,184800,11550,306811823.00,96280,52.10,39.50,16.95
21-February-2024,1676.80,1676.80,1645.30,1656.05,1661.025573464721315527,177997,8472,295657569.00,114725,64.45,31.50,-20.75
20-February-2024,1688.05,1693.45,1668.70,1684.15,1679.663506777437691298,114350,4551,192069522.00,83564,73.08,24.75,-3.90
19-February-2024,1702.55,1710.95,1687.15,1699.45,1700.534480536657826373,147431,9550,250711499.00,100102,67.90,23.80,-3.10
16-February-2024,1688.00,1708.95,1681.05,1702.40,1699.646687587737912572,490096,20874,832990043.00,228192,46.56,27.90,14.40
15-February-2024,1673.90,1686.75,1662.00,1677.60,1673.634923385086080849,236638,7254,396045621.00,198915,84.06,24.75,3.70
14-February-2024,1660.95,1668.80,1635.35,1666.00,1644.656670883042923453,358918,17741,590296883.00,245476,68.39,33.45,5.05
13-February-2024,1680.15,1689.00,1663.75,1684.60,1674.870845650810713965,44652,2780,74786333.00,26785,59.99,25.25,4.45
12-February-2024,1670.15,1692.50,1670.15,1679.80,1685.747288515343714817,269133,13563,453690225.00,135692,50.42,22.35,9.65
9-February-2024,1685.90,1692.00,1659.30,1669.65,1669.026308971352672056,304915,18835,508911157.00,96256,31.57,32.70,-16.25
8-February-2024,1695.05,1706.20,1682.80,1693.20,1691.110954982540398267,95363,4039,161269414.00,62810,65.86,23.40,-1.85
7-February-2024,1729.25,1729.25,1686.90,1693.70,1699.469663455941528696,197567,8860,335759123.00,143002,72.38,42.35,-35.55
6-February-2024,1680.05,1731.00,1673.65,1729.25,1714.583857023860572634,202887,10363,347866775.00,95972,47.30,57.35,49.20
5-February-2024,1686.10,1700.50,1681.00,1686.75,1691.954414726306501693,148469,11845,251202780.00,104182,70.17,19.50,0.65
2-February-2024,1662.25,1718.60,1662.25,1693.85,1697.776288377840880314,592334,25010,1005650620.00,79527,13.43,56.35,31.60
1-February-2024,1660.00,1677.00,1650.15,1656.45,1663.586397810345424938,144315,9899,240080471.00,88767,61.51,26.85,-3.55
31-January-2024,1645.05,1666.00,1637.95,1662.10,1655.218409278484861648,46042,2625,76209566.00,23964,52.05,28.05,17.05
30-January-2024,1655.90,1689.90,1647.95,1650.80,1669.469881227451457294,98676,4711,164736610.00,43505,44.09,41.95,-5.10
29-January-2024,1665.25,1679.25,1647.05,1655.90,1659.062932125099296831,67978,3894,112779780.00,30926,45.49,32.20,-9.35
25-January-2024,1668.15,1680.45,1657.65,1670.80,1670.116094455790933078,1207422,19923,2016534915.00,711789,58.95,22.80,2.65
24-January-2024,1655.20,1679.80,1644.30,1674.50,1658.082191202729684083,1137421,35858,1885937504.00,897476,78.90,35.50,19.30
23-January-2024,1645.15,1675.00,1637.50,1642.20,1662.958941703080038367,112596,5584,187242525.00,53502,47.52,37.50,-2.95
20-January-2024,1661.50,1668.90,1644.65,1648.75,1654.001790713511059547,39649,2166,65579517.00,20221,51.00,24.25,-12.75
19-January-2024,1650.00,1665.00,1644.25,1658.95,1656.143954584349736267,626392,27020,1037395324.00,175412,28.00,20.75,8.95
18-January-2024,1638.45,1647.00,1628.50,1642.60,1638.847411383577552914,179961,7449,294928619.00,46728,25.97,18.50,4.15
17-January-2024,1620.00,1646.95,1620.00,1639.90,1639.142303712155385146,113061,5196,185323068.00,56507,49.98,26.95,19.90
16-January-2024,1647.75,1648.00,1625.70,1630.95,1639.197126148382614066,103624,4685,169860163.00,47942,46.27,22.30,-16.80
15-January-2024,1630.05,1664.90,1630.05,1652.00,1649.172611740460637208,314434,12296,518555941.00,135452,43.08,34.85,21.95
12-January-2024,1556.00,1615.80,1554.75,1612.20,1598.338722083453335664,3163133,108851,5055757957.00,1507498,47.66,61.05,56.20
11-January-2024,1523.00,1525.25,1486.65,1495.00,1498.031439333294009589,356019,8601,533327655.00,241071,67.71,38.60,-28.00
10-January-2024,1528.85,1536.75,1505.10,1519.65,1522.699216710182767624,204905,8370,312008683.00,128924,62.92,31.65,-9.20
9-January-2024,1541.00,1552.90,1526.20,1529.15,1543.152723532561219601,354870,15342,547618607.00,208165,58.66,26.70,-11.85
8-January-2024,1526.80,1535.85,1513.20,1522.95,1523.900823109032600376,212973,11904,324549730.00,104964,49.29,22.65,-3.85
5-January-2024,1508.60,1539.85,1507.50,1532.90,1530.882237326636911364,450788,17487,690103342.00,105297,23.36,32.35,24.30
4-January-2024,1502.90,1519.65,1493.05,1512.20,1508.219210682734932597,440786,18369,664801913.00,250519,56.83,26.60,9.30
3-January-2024,1518.35,1524.60,1488.25,1490.20,1500.127509947863999894,609176,35554,913841676.00,435147,71.43,36.35,-28.15
2-January-2024,1547.35,1548.50,1523.00,1534.95,1533.169493660663813292,309575,8309,474630946.00,219035,70.75,25.50,-12.40
1-January-2024,1542.00,1557.00,1536.90,1551.25,1546.658648762951998308,113496,4763,175539570.00,46682,41.13,20.10,9.25
29-December-2023,1549.95,1555.00,1539.20,1542.85,1543.940402841957731429,864756,42122,1335131727.00,105824,12.24,15.80,-7.10
28-December-2023,1567.95,1568.95,1555.00,1563.00,1561.662228318709646903,84566,4985,132063528.00,38498,45.52,13.95,-4.95
